AI_model,Problems,passed,Total,Attempts,Correctnes,solution,LOC,Cyclomatic,Halstead,Maintainability,TimeComplexity,SpaceComplexity
ChatGpt,CombinationSum2,176,176,1,1,TRUE,18,6,349.09,80.95,O(2^n ? n),O(n)
ChatGpt,frog_position,207,207,1,1,TRUE,17,3,465.43,57.46,O(n),O(n)
ChatGpt,invalid_parentheses,129,129,1,1,TRUE,36,10,455.13,49.45,O(2^n * n),O(2^n)
ChatGpt,strong_password,54,54,3,0.333333333,TRUE,36,13,6444.29,67.7,O(n),O(1)
ChatGpt,trap_rainWater,324,324,1,1,TRUE,17,5,367.33,57.49,O(n),O(1)
ChatGpt,wildcard_matching,1811,1811,1,1,TRUE,15,11,1824.5,78.85,O(m * n),O(m * n)
Llama,CombinationSum2,176,176,1,1,TRUE,18,2,389.72,82.08,O(2^n),O(n)
Llama,frog_position,128,207,3,0.206119163,FALSE,,,,,,
Llama,invalid_parentheses,129,129,1,1,TRUE,30,9,660.23,50.73,O(n * 2^n),O(2^n)
Llama,strong_password,34,54,3,0.209876543,FALSE,,,,,,
Llama,trap_rainWater,324,324,1,1,TRUE,21,6,522.95,55.27,O(n),O(1)
Llama,wildcard_matching,1811,1811,1,1,TRUE,14,11,2011.2,55.84,O(m * n),O(m * n)
Github Copilot,CombinationSum2,176,176,1,1,TRUE,16,2,506.64,58.53,O(2^n),O(n)
Github Copilot,frog_position,207,207,1,1,TRUE,28,13,553.43,62.2,O(n),O(n)
Github Copilot,invalid_parentheses,129,129,1,1,TRUE,31,8,455.13,51.06,O(2^n * n),O(2^n)
Github Copilot,strong_password,54,54,1,1,TRUE,32,13,6969.76,35.54,O(n),O(1)
Github Copilot,trap_rainWater,324,324,1,1,TRUE,17,6,630,57.5,O(n),O(n)
Github Copilot,wildcard_matching,1811,1811,1,1,TRUE,15,11,1824.5,55.54,O(m * n),O(m * n)
Deepseek,CombinationSum2,176,176,1,1,TRUE,17,2,389.72,73.58,O(2^n),O(n)
Deepseek,frog_position,207,207,1,1,TRUE,25,10,253.94,66.68,O(n),O(n)
Deepseek,invalid_parentheses,129,129,1,1,TRUE,36,6,2504.82,63.14,O(n * 2^n),O(2^n)
Deepseek,strong_password,54,54,1,1,TRUE,40,16,6912.7,43.24,O(n),O(1)
Deepseek,trap_rainWater,324,324,1,1,TRUE,17,5,367.33,58.03,O(n),O(1)
Deepseek,wildcard_matching,1811,1811,1,1,TRUE,17,11,1824.5,75.33,O(m * n),O(m * n)
ChatGpt,CombinationSum2,176,176,1,1,TRUE,18,2,349.09,68.65,O(2^n ? n),O(n)
ChatGpt,frog_position,207,207,1,1,TRUE,22,15,815.58,76.06,O(n),O(n)
ChatGpt,invalid_parentheses,129,129,1,1,TRUE,31,8,455.13,50.78,O(2^n * n),O(2^n)
ChatGpt,strong_password,54,54,1,1,TRUE,37,13,5817.93,67.13,O(n),O(1)
ChatGpt,trap_rainWater,324,324,1,1,TRUE,17,5,367.33,57.49,O(n),O(1)
ChatGpt,wildcard_matching,1811,1811,1,1,TRUE,16,11,1824.5,81.11,O(m * n),O(m * n)
Llama,CombinationSum2,176,176,1,1,TRUE,18,2,349.09,85.25,O(2^n),O(n)
Llama,frog_position,123,207,3,0.198067633,FALSE,,,,,,
Llama,invalid_parentheses,129,129,1,1,TRUE,18,7,357.42,74.96,O(n * 2^n),O(2^n)
Llama,strong_password,38,54,3,0.234567901,FALSE,,,,,,
Llama,trap_rainWater,324,324,1,1,TRUE,17,5,622.35,75.17,O(n),O(1)
Llama,wildcard_matching,1811,1811,1,1,TRUE,14,11,1625,84.64,O(m * n),O(m * n)
Github Copilot,CombinationSum2,176,176,1,1,TRUE,18,2,460.79,57.96,O(2^n),O(n)
Github Copilot,frog_position,207,207,1,1,TRUE,26,11,253.94,72.67,O(n),O(n)
Github Copilot,invalid_parentheses,129,129,1,1,TRUE,23,7,413.85,54.26,O(2^n * n),O(2^n)
Github Copilot,strong_password,54,54,3,0.333333333,TRUE,34,13,6567.84,45.26,O(n),O(1)
Github Copilot,trap_rainWater,324,324,1,1,TRUE,17,6,630,56.96,O(n),O(n)
Github Copilot,wildcard_matching,1811,1811,1,1,TRUE,15,11,1824.5,82.75,O(m * n),O(m * n)
Deepseek,CombinationSum2,176,176,1,1,TRUE,16,2,389.72,58.53,O(2^n),O(n)
Deepseek,frog_position,207,207,1,1,TRUE,28,13,1159.8,72.87,O(n),O(n)
Deepseek,invalid_parentheses,129,129,1,1,TRUE,33,9,455.13,60.13,O(n * 2^n),O(2^n)
Deepseek,strong_password,54,54,1,1,TRUE,40,16,6912.7,43.24,O(n),O(1)
Deepseek,trap_rainWater,324,324,1,1,TRUE,17,5,367.33,57.49,O(n),O(1)
Deepseek,wildcard_matching,1811,1811,1,1,TRUE,15,11,1824.5,81.18,O(m * n),O(m * n)
ChatGpt,CombinationSum2,176,176,1,1,TRUE,18,2,349.09,75.68,O(2^n ? n),O(n)
ChatGpt,frog_position,207,207,1,1,TRUE,23,11,400.31,82.16,O(n),O(n)
ChatGpt,invalid_parentheses,129,129,1,1,TRUE,31,9,455.13,64.92,O(2^n * n),O(2^n)
ChatGpt,strong_password,54,54,1,1,TRUE,42,14,6049.84,65.88,O(n),O(1)
ChatGpt,trap_rainWater,324,324,1,1,TRUE,16,6,505.75,70.13,O(n),O(1)
ChatGpt,wildcard_matching,1811,1811,1,1,TRUE,14,11,1824.5,82.75,O(m * n),O(m * n)
Llama,CombinationSum2,176,176,1,1,TRUE,18,2,389.72,81.77,O(2^n),O(n)
Llama,frog_position,181,207,3,0.291465378,FALSE,,,,,,
Llama,invalid_parentheses,129,129,1,1,TRUE,30,9,660.23,79.29,O(n * 2^n),O(2^n)
Llama,strong_password,38,54,3,0.234567901,FALSE,,,,,,
Llama,trap_rainWater,324,324,1,1,TRUE,20,6,522.95,81.42,O(n),O(1)
Llama,wildcard_matching,1811,1811,1,1,TRUE,13,11,2011.2,79.78,O(m * n),O(m * n)
Github Copilot,CombinationSum2,176,176,1,1,TRUE,16,2,506.64,58.53,O(2^n),O(n)
Github Copilot,frog_position,207,207,1,1,TRUE,28,13,553.43,62.2,O(n),O(n)
Github Copilot,invalid_parentheses,129,129,1,1,TRUE,31,8,455.13,51.06,O(2^n * n),O(2^n)
Github Copilot,strong_password,54,54,1,1,TRUE,32,13,6969.76,45.54,O(n),O(1)
Github Copilot,trap_rainWater,324,324,1,1,TRUE,17,6,630,57.5,O(n),O(n)
Github Copilot,wildcard_matching,1811,1811,1,1,TRUE,15,11,1824.5,81.18,O(m * n),O(m * n)
Deepseek,CombinationSum2,176,176,1,1,TRUE,16,2,389.72,58.53,O(2^n),O(n)
Deepseek,frog_position,207,207,1,1,TRUE,33,16,1441.46,66.66,O(n),O(n)
Deepseek,invalid_parentheses,129,129,1,1,TRUE,33,9,455.13,60.13,O(n * 2^n),O(2^n)
Deepseek,strong_password,54,54,1,1,TRUE,37,16,7212.56,65.31,O(n),O(1)
Deepseek,trap_rainWater,324,324,1,1,TRUE,17,5,367.33,57.49,O(n),O(1)
Deepseek,wildcard_matching,1811,1811,1,1,TRUE,15,11,1824.5,55.54,O(m * n),O(m * n)
ChatGpt,CombinationSum2,176,176,1,1,TRUE,18,2,349.09,70.85,O(2^n),O(n)
ChatGpt,frog_position,207,207,1,1,TRUE,23,11,400.31,81.7,O(V + E),O(V + E)
ChatGpt,invalid_parentheses,129,129,1,1,TRUE,31,9,255.13,60.96,O(n * 2^n),O(2^n)
ChatGpt,strong_password,54,54,1,1,TRUE,42,14,6049.84,64.78,O(n),O(1)
ChatGpt,trap_rainWater,324,324,1,1,TRUE,16,6,505.75,56.41,O(n),O(1)
ChatGpt,wildcard_matching,1811,1811,1,1,TRUE,14,11,1824.5,81.18,O(m * n),O(m * n)
Llama,CombinationSum2,176,176,1,1,TRUE,19,2,349.09,86.64,O(2^n), O(n + k)
Llama,frog_position,207,207,1,1,TRUE,25,13,1300.72,68.27, O(n), O(n)
Llama,invalid_parentheses,129,129,1,1,TRUE,33,10,1163.68,73.15,O(2^n * n),O(2^n)
Llama,strong_password,54,54,1,1,TRUE,31,16,6772.26,65.73,O(n),O(1)
Llama,trap_rainWater,324,324,1,1,TRUE,18,6,522.95,83.07,O(n),O(1)
Llama,wildcard_matching,1811,1811,1,1,TRUE,13,11,1625,83.71,O(m * n),O(m * n)
Github Copilot,CombinationSum2,176,176,1,1,TRUE,16,2,506.64,58.53,O(2^n),O(n)
Github Copilot,frog_position,207,207,1,1,TRUE,24,13,723.76,74.85,O(n),O(n)
Github Copilot,invalid_parentheses,129,129,1,1,TRUE,22,2,413.85,65.76,O(n * 2^n), O(2^n)
Github Copilot,strong_password,54,54,1,1,TRUE,43,17,10117.61,56.78,O(n),O(1)
Github Copilot,trap_rainWater,324,324,1,1,TRUE,16,6,630,70.68,O(n),O(n)
Github Copilot,wildcard_matching,1811,1811,1,1,TRUE,13,11,1625,83.71,O(m * n),O(m * n)
Deepseek,CombinationSum2,176,176,1,1,TRUE,16,2,389.72,58.53,O(2^n),O(n + k)
Deepseek,frog_position,207,207,1,1,TRUE,27,13,740.16,68.53,O(E + t * n),O(n + E)
Deepseek,invalid_parentheses,129,129,1,1,TRUE,33,9,455.13,60.13,O(n * 2^n),O(2^n)
Deepseek,strong_password,54,54,1,1,TRUE,36,16,7212.56,57.19,O(n),O(1)
Deepseek,trap_rainWater,324,324,1,1,TRUE,16,5,367.33,57.49,O(n),O(1)
Deepseek,wildcard_matching,1811,1811,1,1,TRUE,14,11,1824.5,78.92,O(m * n),O(m * n)
ChatGpt,CombinationSum2,176,176,1,1,TRUE,18,2,349.09,78.92,O(2^n),O(n)
ChatGpt,frog_position,207,207,1,1,TRUE,21,3,1011.06,66.38,O(n),O(n)
